"Name","LastLogonDate"
"LOVISAF-005","19/11/2021 6:27:56 PM"
"ZA_LOVIL_001","29/03/2022 8:59:54 PM"
"LOVID-004","25/08/2019 5:41:23 AM"
"LOVIZTST","2/09/2019 10:18:40 AM"
"LOVIZW102","5/09/2019 1:26:42 PM"
"LOVIL-075","12/11/2021 1:36:50 PM"
"LOVIL-026","24/12/2021 9:47:18 AM"
"AU_LOVIL_9","19/11/2019 11:44:20 AM"
"AU_LOVIL_1","17/06/2019 12:24:12 PM"
"LOVIL-801","15/11/2019 1:59:27 PM"
"LOVITAB-13","14/10/2019 8:07:14 AM"
"LOVIL-167","12/02/2020 8:21:08 AM"
"LOVIL-084","18/02/2021 4:53:27 AM"
"LOVIL-425","23/12/2021 2:53:36 PM"
"LOVIL-017","2/09/2019 3:57:29 PM"
"LOVIL-316","18/06/2022 11:02:46 AM"
"LOVIL-126","10/06/2020 1:40:28 PM"
"LOVIL-244","20/12/2021 4:17:43 PM"
"LOVIL-045","27/08/2020 1:30:50 PM"
"LOVIL-738","20/12/2021 1:05:53 PM"
"LOVIL-491","12/04/2022 1:43:53 PM"
"LOVITAB-40","25/01/2021 8:42:03 AM"
"LOVIL-705","2/11/2023 3:53:51 PM"
"LOVIL-169","1/12/2020 12:23:02 PM"
"LOVIL-436","28/06/2022 4:53:10 PM"
"AU_LOVIL_10","16/05/2021 11:01:24 AM"
"LOVIL-441","20/11/2020 6:44:08 PM"
"AU_LOVIL_7","7/07/2022 4:35:08 PM"
"LOVIL-200","1/12/2022 4:32:05 AM"
"LOVIL-304","15/02/2022 2:14:21 PM"
"LOVIL-303","8/01/2021 11:38:13 AM"
"LOVIL-174","30/12/2019 8:39:34 AM"
"LCSC","2/07/2020 9:23:06 AM"
"LOVIL-404","1/12/2021 8:33:33 AM"
"AU_LOVID_3","12/01/2020 12:44:49 PM"
"LOVIL-305","27/04/2022 1:43:22 PM"
"UK_LOVIL_1","15/11/2022 5:16:56 PM"
"USA_LOVIL_7","14/01/2020 12:26:17 PM"
"LOVIPC-1","6/01/2020 2:51:25 AM"
"LOVITAB-81","22/03/2021 8:28:20 AM"
"AU_LOVIL_6","27/05/2021 9:17:32 AM"
"LOVIL-437","5/05/2022 3:54:36 PM"
"LOVIL-434","27/03/2023 2:03:42 PM"
"LOVIL-246","21/01/2020 11:18:01 AM"
"au-mac-004","19/01/2020 9:05:42 AM"
"AU_LOVID_032","19/01/2020 6:06:03 PM"
"LOVIL-010","28/01/2020 7:50:46 AM"
"AU_LOVI_2","28/01/2020 7:41:06 AM"
"LOVI-LT0013","19/04/2022 6:50:44 PM"
