"DeviceName","DeviceId","OperatingSystem","OSVersion","Model","TrustType","DdeviceOwnership","ComplianceState","IsManaged","RegistrationDateTime","ApproximateLastSignInDateTime","OnPremisesLastSyncDateTime","ProfileType","EnrollmentType"
"LOVIL-Z0WdXECAu","f4dea94a-3ec4-4e99-94f0-8968e4ba2741","Windows","10.0.19043.2006","Latitude 7430","AzureAd","Company",,"True","27/09/2022 11:42:07 PM","27/09/2022 11:42:08 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-bWBPEWHVF","9c3fd2ce-5fa9-4d86-bc4a-c960c022dd38","Windows","10.0.19045.2251","Latitude 7430","AzureAd","Company",,"True","29/11/2022 12:06:02 AM","29/11/2022 12:09:09 AM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-aKB05Ysla","a6ace19b-66a2-4789-a826-43857dcc8d69","Windows","10.0.22621.1702","Latitude 7440","AzureAd","Company",,"False","29/05/2023 9:48:52 PM","29/05/2023 9:55:49 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-KR0h6oirl","a4b0e79b-5d31-478b-9522-1567d496d377","Windows","10.0.22621.2283","Latitude 7440","AzureAd","Company",,"False","1/10/2023 10:35:27 PM","1/10/2023 10:38:30 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-bWBPEWHVF","1b4f66c6-146f-40ed-a162-2949c19ac848","Windows","10.0.19045.4651","Latitude 7430","ServerAd","Company",,"True","29/11/2022 5:28:36 AM","22/08/2024 10:59:55 PM","2/03/2023 8:15:27 PM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-Z0WdXECAu","2653b848-7138-4298-9dc3-89af0c0bd3bf","Windows","10.0.22621.4037","Latitude 7430","ServerAd","Company",,"True","28/09/2022 12:38:05 AM","16/08/2024 5:33:45 AM","3/03/2023 12:15:32 AM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-aKB05Ysla","47dfe485-440f-4def-9d03-f947ed8c1c26","Windows","10.0.22621.4037","Latitude 7440","ServerAd","Company",,"True","29/05/2023 11:06:28 PM","17/08/2024 8:11:03 AM","29/05/2023 10:25:12 PM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-KR0h6oirl","c6922cd6-d703-4658-8dcc-8885e77f2515","Windows","10.0.22621.4037","Latitude 7440","ServerAd","Company",,"True","2/10/2023 2:33:38 AM","20/08/2024 11:46:29 PM","2/10/2023 1:53:34 AM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-JDGkvpARy","9f043e8a-1d59-46f0-a8df-023d276925fa","Windows","10.0.22621.2134","Latitude 7450","AzureAd","Company",,"False","2/07/2024 12:37:46 AM","1/07/2024 10:29:33 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-RCmDn7r27","f9f26284-7e5d-4010-80fa-f6da597b5a05","Windows","10.0.22631.3593","Latitude 7450","AzureAd","Company",,"False","26/05/2024 10:52:40 PM","26/05/2024 10:52:42 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-npQ4CT6RE","39f17f41-3ed3-40ef-9b90-b731414b240c","Windows","10.0.22621.2134","Latitude 7450","AzureAd","Company",,"False","1/07/2024 2:44:27 AM","14/07/2024 10:45:26 PM",,"Shared","OnPremiseUsingWhiteGlove"
"LOVIL-RCmDn7r27","2f600d16-fd73-4d29-929f-9888efb71d45","Windows","10.0.22631.4037","Latitude 7450","ServerAd","Company",,"True","26/05/2024 11:47:37 PM","15/08/2024 1:10:57 AM","26/05/2024 11:19:16 PM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-npQ4CT6RE","ff372074-8982-4b7a-b7d0-8bf8b57412e0","Windows","10.0.22621.4037","Latitude 7450","ServerAd","Company",,"True","1/07/2024 5:12:17 AM","22/08/2024 10:44:59 PM","1/07/2024 3:41:31 AM","RegisteredDevice","OnPremiseUsingWhiteGlove"
"LOVIL-JDGkvpARy","8b187c3a-caf4-4c39-b107-7890016bf47f","Windows","10.0.22621.4037","Latitude 7450","ServerAd","Company",,"True","2/07/2024 1:17:40 AM","17/08/2024 10:55:36 AM","2/07/2024 1:12:25 AM","RegisteredDevice","OnPremiseUsingWhiteGlove"
